"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"Jan 26",-0.955554189058854,-1.37192585309183,-0.539182525025876,-1.59233969783458,-0.318768680283128
"Feb 26",-0.993082702817925,-1.71126620812859,-0.274899197507264,-2.09144959069376,0.105284185057909
"Mar 26",-0.7998042014358,-1.72023630923376,0.120627906362163,-2.20748363471063,0.60787523183903
"Apr 26",-0.530020644197729,-1.57797145422615,0.517930165830696,-2.13272310303516,1.0726818146397
"May 26",-0.477655153652034,-1.60388639161018,0.648576084306109,-2.20007719581456,1.2447668885105
"Jun 26",-0.566901988534569,-1.71747969304066,0.583675715971519,-2.32655873811561,1.19275476104647
"Jul 26",-0.46238003616656,-1.65607765529479,0.731317582961671,-2.28798300433766,1.36322293200454
"Aug 26",-0.307046679297259,-1.5365396577361,0.922446299141582,-2.18739392538015,1.57330056678563
"Sep 26",-0.275536350065757,-1.52196067090565,0.970887970774136,-2.18177784980818,1.63070514967666
"Oct 26",-0.313305438461693,-1.56875838454971,0.942147507626322,-2.23335502895285,1.60674415202947
"Nov 26",-0.27710938820994,-1.54203638026472,0.987817603844841,-2.21164828165384,1.65742950523396
"Dec 26",-0.187518600636314,-1.46324425600071,1.08820705472808,-2.1385726244402,1.76353542316758
