"","x"
"1",-0.35754029859281
"2",-0.44117633613282
"3",-0.218855619213048
"4",-0.351761462012258
"5",-0.817306550856438
"6",-0.839718129205077
"7",-0.327442230368671
"8",-0.14791002943123
"9",0.917189908799335
"10",1.24681027870672
"11",1.26525465659417
"12",1.50678809512045
"13",1.03148002798876
"14",0.937317353541289
"15",0.539386789455287
"16",0.244427670678926
"17",0.614373453055592
"18",0.576629942846015
"19",0.344228024101493
"20",0.0527273961578192
"21",-0.603643471983061
"22",-0.606219089071344
"23",-1.14507682275297
"24",-0.767488433537796
"25",-0.631744328891868
"26",-1.40944952350206
"27",-0.505576831307819
"28",-0.509177860098897
"29",-0.326773533984186
"30",-0.465813996638277
"31",-0.65334076775041
"32",0.0216810699904038
"33",-0.404783567509315
"34",-0.287091389163878
"35",-0.169753930394797
"36",-0.440606051186326
"37",-0.0107122930327112
"38",0.0724947343969665
"39",-0.111558178807068
"40",0.0652221374179382
"41",0.1405156467662
"42",0.131502152521073
"43",-0.127729446078321
"44",-0.248861362968467
"45",-0.0510857139398275
"46",-0.246223679535917
"47",0.00734243455115621
"48",-0.238059965708995
"49",-0.107799275648098
"50",-0.251514642483946
"51",-0.345379959460054
"52",-0.107577015829424
"53",-0.431779703729651
"54",-0.264873302166241
"55",-0.113976405762011
"56",0.237748323983634
"57",0.397554297170261
"58",0.288454409626118
"59",-0.174910363353249
"60",0.192382574551014
"61",0.235860416802227
"62",0.27202962735006
"63",0.412837860898377
"64",0.194237566927885
"65",0.869919735203502
"66",0.653442174361913
"67",0.319601098682688
"68",0.288828961895824
"69",-0.0133961803070777
"70",0.288933174667768
"71",0.390573694861162
"72",-0.0247634543383605
"73",0.183057139390491
"74",0.364368813185258
"75",0.296499132721379
"76",0.479256702788628
"77",0.417065635477282
"78",0.556262974206711
"79",0.421960956905576
"80",0.620962737317272
"81",0.464537266978238
"82",0.656894330437694
"83",0.692558614035179
"84",0.894166973479793
"85",0.953892897344463
"86",0.39511784203548
"87",0.727511574202254
"88",0.237761223350836
"89",0.108260699417845
"90",-0.136108807785832
"91",-0.158837253864808
"92",0.0460602074763428
"93",-0.194907677626527
"94",-0.0619211749384885
"95",-0.383579196743012
"96",-0.547213236399187
"97",-0.504449428547204
"98",-0.850562693138621
"99",-0.867912526441872
"100",-0.85197436399317
"101",-0.855990933922802
"102",-0.417028586881952
"103",-0.705952249865162
"104",-0.568619863718862
"105",-0.733841411092035
"106",-0.917903034666329
"107",-0.640833233066165
"108",-0.939497041254045
"109",-0.57656834264559
"110",-0.633810191586851
"111",-0.829393587572151
"112",-0.467941022860926
"113",0.0254788937127093
"114",-0.327492624106549
"115",-0.435678007852892
"116",-0.340280676651517
"117",-0.041578991377531
"118",0.497586108976125
"119",-0.0671225269988874
"120",0.0431312203825389
"121",0.313281958698898
"122",0.284174824186831
"123",1.01281339089649
"124",1.12120950005743
"125",0.255116315408063
"126",0.932234179032433
"127",1.12150616201512
"128",1.06712066092703
"129",0.857407677101914
"130",0.639460435135759
"131",0.88310164196624
"132",0.856176096770314
"133",0.815858619514345
"134",1.02126219658206
"135",0.721822807670078
"136",0.212213631271407
"137",0.858250876681463
"138",0.875438043856277
"139",0.495161798446186
"140",-0.0282210232439496
"141",-0.175652540488712
"142",0.130070099290068
"143",-0.569868517632573
"144",-0.759622633009472
"145",-1.30304047611104
"146",-1.50765172086195
"147",-1.01310351869944
"148",-1.16692376660806
"149",-0.969158404409904
"150",-1.4800149705623
"151",-1.38886617381239
"152",-0.854902619927263
"153",-0.856668334521935
"154",-1.01748467135116
"155",-0.506076475816194
"156",-0.464202959987231
"157",-0.0684699817867348
"158",0.0445814554160405
"159",0.20599255504833
"160",0.358416018938123
"161",-0.872847157364146
"162",-0.46433897642633
"163",-0.700626209330287
"164",-0.478796350447766
"165",-0.144512241257055
"166",-0.826923801445491
"167",-0.591380584238268
"168",-0.935690987079852
"169",-0.613086461014918
"170",-0.791250065487881
"171",-1.22856260053506
"172",-0.663936757736151
"173",-0.252850529881435
"174",0.760442760857926
"175",0.468681812974373
"176",-0.0484588646511894
"177",-0.0579563315953197
"178",-0.375076036423917
"179",1.04505109785028
"180",0.616916752279163
"181",0.287133061012517
"182",0.250574872544554
"183",0.0337417802081502
"184",0.820155582739619
"185",0.621914432412077
"186",-0.35740025204408
"187",-0.216660580487626
"188",0.784746639941998
"189",1.09761685416912
"190",2.28975048579644
"191",0.863286309826516
"192",0.374421609455776
"193",0.987701433283992
"194",1.18708397399521
"195",0.970701713470746
"196",0.204944309521417
"197",0.832776850835282
"198",1.88893109416742
"199",1.59335478622
"200",1.03095749024359
"201",0.591120103512849
"202",-1.05284740859476
"203",-1.09021366079978
"204",-0.463382000690261
"205",-0.123943050486155
"206",-0.224987279986207
"207",-0.300281140283384
"208",0.133134910934765
"209",0.0013835558866766
"210",0.449878007948716
"211",-0.178834239436086
"212",-0.532561211268048
"213",-0.331300024019737
"214",0.615694173829384
"215",1.16054860539246
"216",1.6834753452022
"217",1.37798083911987
"218",1.6800541516163
"219",1.2672780523025
"220",1.25575346472078
"221",1.43934242753096
"222",1.54440682627913
"223",2.86816513308991
"224",2.90493624465375
"225",2.59023519027436
"226",2.00407088225644
"227",0.433254079186719
"228",-2.039057352271
"229",-2.37583790021834
"230",-2.14608709097551
"231",-1.7199020050195
"232",-2.62430328849447
"233",-3.4126197419306
"234",-3.45195784501823
"235",-3.17924001252688
"236",-4.11530153285256
"237",-3.58492569363726
"238",-3.25619345437548
"239",-1.4375451728849
"240",0.70597740310897
"241",-0.0925065762755672
"242",0.397097912637864
"243",-0.353529836157964
"244",0.310237991762022
"245",0.11977294468939
"246",-0.737481777474451
"247",-0.949553393257795
"248",-1.01545113108527
"249",-0.716788219593245
"250",-1.05335645484727
"251",-0.833676977404401
"252",-0.964175636384768
"253",-0.26927961572967
"254",-0.332148559856652
"255",0.0470948246531768
"256",0.988434391951831
"257",1.13734389963907
"258",1.80321270572171
"259",1.14374145034119
"260",1.45355425711435
"261",1.99644119565184
"262",1.66209296028656
"263",1.34571809467102
"264",1.03285303469777
"265",0.991628394186937
"266",1.0712185223217
"267",0.795002597527824
"268",0.531451775771283
"269",0.320716425157327
"270",-0.289073123747391
"271",-0.114274413943085
"272",-0.640866815320969
"273",0.16874864993272
"274",0.438183955919691
"275",0.182520595964367
"276",-0.0454590089986867
"277",-0.297150972697532
"278",0.0938045580235355
"279",0.369515380892415
"280",-0.567850200855294
"281",-0.749704574640387
"282",-0.0866899869350092
"283",0.32611053901547
"284",0.470877652472884
"285",-0.752359689745696
"286",-0.582145827746413
"287",-0.432426771703287
"288",-0.271531271974202
"289",-0.0128366880790167
"290",-0.42344882368305
"291",-0.40929485089552
"292",0.161565630557144
"293",0.388475167952487
"294",0.41869231076774
"295",0.473440881388199
"296",0.259959575909381
"297",-0.0467266654617779
"298",0.108037463534611
"299",0.089944562890293
"300",-0.435730374432897
